Key            Name:Suffix                                Trend Definitions Used		BuildingName																
Point_1:	BURTON.YEST.STEAM.CONSUMP	Burton Hall																
Point_2:	COWLING.YEST.STEAM.CONSUMP	Cowling Recreation Center																
Point_3:	DAVIS.YEST.STEAM.CONSUMP	Davis Hall																
Point_4:	EVANS.YEST.STEAM.CONSUMP	Evans Hall																
Point_5:	GOODHUE.YEST.STEAM.CONSUMP	Goodhue Hall																
Point_6:	HULINGS.YEST.STEAM.CONSUMP	Hulings Hall																
Point_7:	LIBRARY.YEST.STEAM.CONSUMP	Gould Memorial Library																
Point_8:	MUDD.YEST.STEAM.CONSUMP	Mudd Hall of Science																
Point_9:	MUSSER.YEST.STEAM.CONSUMP	Musser Hall																
Point_10:	MYERS.YEST.STEAM.CONSUMP	Myers Hall																
Point_11:	NOURSE.YEST.STEAM.CONSUMP	Nourse Hall																
Point_12:	OLIN.YEST.STEAM.CONSUMP	Olin Hall of Science																
Point_13:	SAYLES.YEST.STEAM.CONSUMP	Sayles-Hill Campus Center																
Point_14:	SEVY.YEST.STEAM.CONSUMP	Severance Hall																
Point_15:	STHS.YEST.STEAM.CONSUMP	Student Houses																
Point_16:	WATSON.YEST.STEAM.CONSUMP	Watson Hall																
Point_17:	WEST.GYM.YEST.STEAM.CONSUMP	West Gymnasium																
Time Interval:	1 Days																	
Date Range:	7/1/2009 00:00:00 - 11/18/2011 23:59:59																	
Report Timings:	All Hours																	
																		
<>Date	Time	Point_1	Point_2	Point_3	Point_4	Point_5	Point_6	Point_7	Point_8	Point_9	Point_10	Point_11	Point_12	Point_13	Point_14	Point_15	Point_16	Point_17
9/3/09	0:00:00	0	No Data	No Data	No Data	579.11	No Data	527.68	No Data	No Data	No Data	162.28	11.35	4.65	225.41	No Data	No Data	19387.98
9/4/09	0:00:00	0	No Data	No Data	No Data	579.11	No Data	527.68	No Data	No Data	No Data	162.28	11.35	4.65	225.41	No Data	No Data	23023.21
9/5/09	0:00:00	0	No Data	No Data	No Data	579.11	No Data	527.68	No Data	No Data	No Data	162.28	11.35	4.65	225.41	No Data	No Data	27609.44
9/6/09	0:00:00	0	No Data	No Data	No Data	579.11	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	20657.12
9/7/09	0:00:00	0	No Data	542.8	No Data	579.11	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	20657.12
9/8/09	0:00:00	0	No Data	0.27	No Data	579.11	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13772.14
9/9/09	0:00:00	0	No Data	318.14	No Data	766.09	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	13474.82
9/10/09	0:00:00	0	No Data	318.14	No Data	593.5	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	14280.54
9/11/09	0:00:00	0	No Data	318.14	No Data	964.12	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	14035.91
9/12/09	0:00:00	0	No Data	2.33	No Data	1227.73	No Data	78.75	No Data	No Data	No Data	162.28	11.35	4.65	35.77	No Data	No Data	14035.91
